Combine labels,coding,stopwords,stemming,uniform prior,model,accuracy,accuracy on top frequency DAS,frequency-weighted accuracy,weighted precision,weighted recall,weighted F1 score,file with predictions on test set,file with predictions
no,1,yes,yes,yes,fifth classifier (word2vec with TF-IDF),0.8026315789473685,0.9259259259259259,0.8026315789473685,0.8119347281246594,0.8026315789473685,0.7736388020613333,Classified_w2v_tfidf-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv,Classified_w2v_tfidf_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv
no,1,yes,yes,no,first classifier (Naive Bayes classifier),0.8157894736842105,
no,1,yes,yes,no,second classifier (TF-IDF Naive Bayes classifier),0.7763157894736842,0.9444444444444444,0.7763157894736842,0.7589272223621254,0.7763157894736842,0.7047250479139023,Classified_TFIDF_NB-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv,Classified_TFIDF_NB_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv
no,1,yes,yes,no,third classifier (SVM classifier),0.9210526315789473,0.9814814814814815,0.9210526315789473,0.9282296650717704,0.9210526315789473,0.9182890612110214,Classified_SVM-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv,Classified_SVM_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv
no,1,yes,yes,no,fourth classifier (word2vec),0.8421052631578947,0.9259259259259259,0.8421052631578947,0.809423769507803,0.8421052631578947,0.8151213631905853,Classified_w2v-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv,Classified_w2v_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv
no,1,yes,yes,no,fifth classifier (word2vec with TF-IDF),0.8026315789473685,0.9259259259259259,0.8026315789473685,0.8119347281246594,0.8026315789473685,0.7736388020613333,Classified_w2v_tfidf-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv,Classified_w2v_tfidf_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv
no,1,yes,no,yes,first classifier (Naive Bayes classifier),0.8157894736842105,
no,1,yes,no,yes,second classifier (TF-IDF Naive Bayes classifier),0.8947368421052632,0.9814814814814815,0.8947368421052632,0.8937569988801791,0.8947368421052632,0.8829346092503986,Classified_TFIDF_NB-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv,Classified_TFIDF_NB_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv
no,1,yes,no,yes,third classifier (SVM classifier),0.9210526315789473,0.9814814814814815,0.9210526315789473,0.9282296650717704,0.9210526315789473,0.9182890612110214,Classified_SVM-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv,Classified_SVM_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv
no,1,yes,no,yes,fourth classifier (word2vec),0.8552631578947368,0.9444444444444444,0.8552631578947368,0.8846670247046188,0.8552631578947368,0.8339241354956796,Classified_w2v-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv,Classified_w2v_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv
no,1,yes,no,yes,fifth classifier (word2vec with TF-IDF),0.8157894736842105,0.9259259259259259,0.8157894736842105,0.8332379862700229,0.8157894736842105,0.7959464093147609,Classified_w2v_tfidf-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv,Classified_w2v_tfidf_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv
no,1,yes,no,no,first classifier (Naive Bayes classifier),0.8157894736842105,
no,1,yes,no,no,second classifier (TF-IDF Naive Bayes classifier),0.7631578947368421,0.9444444444444444,0.7631578947368421,0.7549108572648661,0.7631578947368421,0.6800265670364029,Classified_TFIDF_NB-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_TFIDF_NB_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
no,1,yes,no,no,third classifier (SVM classifier),0.9210526315789473,0.9814814814814815,0.9210526315789473,0.9282296650717704,0.9210526315789473,0.9182890612110214,Classified_SVM-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_SVM_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
no,1,yes,no,no,fourth classifier (word2vec),0.8421052631578947,0.9444444444444444,0.8421052631578947,0.8257776794928496,0.8421052631578947,0.8187582263725676,Classified_w2v-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
no,1,yes,no,no,fifth classifier (word2vec with TF-IDF),0.8026315789473685,0.9259259259259259,0.8026315789473685,0.8119347281246594,0.8026315789473685,0.7736388020613333,Classified_w2v_tfidf-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_tfidf_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
no,1,no,yes,yes,first classifier (Naive Bayes classifier),0.8157894736842105,
